date,province_thai,province_eng,region_thai,region_eng,variable,value
2019-01-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,occupancy_rate,59.84
2019-01-01,นราธิวาส,Narathiwat ,ภาคใต้,south,occupancy_rate,63.95
2019-01-01,กระบี่,Krabi ,ภาคใต้,south,occupancy_rate,81.62
2019-01-01,สงขลา,Songkhla ,ภาคใต้,south,occupancy_rate,74.85
2019-01-01,พังงา,Phang Nga ,ภาคใต้,south,occupancy_rate,86.51
2019-01-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,occupancy_rate,75.59
2019-01-01,สตูล,Satun ,ภาคใต้,south,occupancy_rate,74.9
2019-01-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,occupancy_rate,57.35
2019-01-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,occupancy_rate,81.25
2019-01-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,occupancy_rate,91.04
2019-01-01,พิจิตร,Phichit ,ภาคเหนือ,north,occupancy_rate,57.68
2019-01-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,occupancy_rate,63.54
2019-01-01,ตาก,Tak ,ภาคเหนือ,north,occupancy_rate,76.98
2019-01-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,occupancy_rate,71.52
2019-01-01,พะเยา,Phayao ,ภาคเหนือ,north,occupancy_rate,69.37
2019-01-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,occupancy_rate,74.46
2019-01-01,แพร่,Phrae ,ภาคเหนือ,north,occupancy_rate,67.14
2019-01-01,ลำปาง,Lampang ,ภาคเหนือ,north,occupancy_rate,77.39
2019-01-01,ลำพูน,Lamphun ,ภาคเหนือ,north,occupancy_rate,65.76
2019-01-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,occupancy_rate,77.92
2019-01-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,occupancy_rate,62.56
2019-01-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,occupancy_rate,51.56
2019-01-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,occupancy_rate,73.09
2019-01-01,น่าน,Nan ,ภาคเหนือ,north,occupancy_rate,80.74
2019-01-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,55.76
2019-01-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,67.31
2019-01-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.59
2019-01-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.42
2019-01-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,77.67
2019-01-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,71.26
2019-01-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,61.85
2019-01-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,69.66
2019-01-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,60.27
2019-01-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,78.17
2019-01-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,occupancy_rate,68.63
2019-01-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,61.37
2019-01-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,70.92
2019-01-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,72.95
2019-01-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,76.79
2019-01-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,77.37
2019-01-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,64.69
2019-01-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,63.63
2019-01-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.15
2019-01-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.05
2020-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,occupancy_rate,89.36
2020-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,occupancy_rate,51.53
2020-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,occupancy_rate,66.07
2020-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,occupancy_rate,59.71
2020-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,occupancy_rate,73.47
2020-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,occupancy_rate,64.63
2020-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,occupancy_rate,57.93
2020-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,occupancy_rate,63.97
2020-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,occupancy_rate,71.1
2020-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,occupancy_rate,58.63
2020-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,occupancy_rate,69.55
2020-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,occupancy_rate,58.37
2020-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,occupancy_rate,55.42
2020-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,occupancy_rate,72.78
2020-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,occupancy_rate,81.92
2020-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,occupancy_rate,69.52
2020-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,occupancy_rate,85.81
2020-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,occupancy_rate,72.6
2020-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,occupancy_rate,70.35
2020-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,occupancy_rate,83.21
2020-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,occupancy_rate,76.36
2020-01-01,ตราด,Trat ,ภาคตะวันออก,east,occupancy_rate,72.26
2020-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,occupancy_rate,59.86
2020-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,occupancy_rate,67.12
2020-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,occupancy_rate,65.73
2020-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,occupancy_rate,49.25
2020-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,occupancy_rate,87.71
2020-01-01,พัทลุง,Phatthalung ,ภาคใต้,south,occupancy_rate,67.53
2020-01-01,ตรัง,Trang ,ภาคใต้,south,occupancy_rate,67.6
2020-01-01,ระนอง,Ranong ,ภาคใต้,south,occupancy_rate,52.8
2020-01-01,ชุมพร,Chumphon ,ภาคใต้,south,occupancy_rate,58.98
2020-01-01,ปัตตานี,Pattani ,ภาคใต้,south,occupancy_rate,45.72
2020-01-01,ยะลา,Yala ,ภาคใต้,south,occupancy_rate,48.36
2020-01-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,occupancy_rate,56.04
2020-01-01,นราธิวาส,Narathiwat ,ภาคใต้,south,occupancy_rate,60.39
2020-01-01,กระบี่,Krabi ,ภาคใต้,south,occupancy_rate,79.51
2020-01-01,สงขลา,Songkhla ,ภาคใต้,south,occupancy_rate,82.05
2020-01-01,พังงา,Phang Nga ,ภาคใต้,south,occupancy_rate,85.24
2020-01-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,occupancy_rate,69.1
2020-01-01,สตูล,Satun ,ภาคใต้,south,occupancy_rate,72.77
2020-01-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,occupancy_rate,53.72
2020-01-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,occupancy_rate,78.3
2020-01-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,occupancy_rate,85.32
2020-01-01,พิจิตร,Phichit ,ภาคเหนือ,north,occupancy_rate,54.08
2020-01-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,occupancy_rate,61.79
2020-01-01,ตาก,Tak ,ภาคเหนือ,north,occupancy_rate,75.73
2020-01-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,occupancy_rate,69.01
2020-01-01,พะเยา,Phayao ,ภาคเหนือ,north,occupancy_rate,66.44
2020-01-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,occupancy_rate,72.11
2020-01-01,แพร่,Phrae ,ภาคเหนือ,north,occupancy_rate,69.13
2020-01-01,ลำปาง,Lampang ,ภาคเหนือ,north,occupancy_rate,72.29
2020-01-01,ลำพูน,Lamphun ,ภาคเหนือ,north,occupancy_rate,60.46
2020-01-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,occupancy_rate,69.36
2020-01-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,occupancy_rate,60.58
2020-01-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,occupancy_rate,49.78
2020-01-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,occupancy_rate,66.86
2020-01-01,น่าน,Nan ,ภาคเหนือ,north,occupancy_rate,82.98
2020-01-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,50.42
2020-01-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,57.25
2020-01-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,61.26
2020-01-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,63.13
2020-01-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,73.36
2020-01-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.4
2020-01-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,54.73
2020-01-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,61.12
2020-01-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,58.69
2020-01-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,72.31
2020-01-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,occupancy_rate,65.69
2020-01-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,58.12
2020-01-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,70.08
2020-01-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,72.86
2020-01-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,83.19
2020-01-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,71.5
2020-01-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,64.41
2020-01-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,50.85
2020-01-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,58.36
2020-01-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,53.36
2021-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,occupancy_rate,7.54
2021-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,occupancy_rate,20.48
2021-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,occupancy_rate,18.16
2021-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,occupancy_rate,19.05
2021-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,occupancy_rate,16.13
2021-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,occupancy_rate,16.53
2021-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,occupancy_rate,11.82
2021-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,occupancy_rate,5.38
2021-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,occupancy_rate,5.83
2021-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,occupancy_rate,7.81
2021-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,occupancy_rate,5.52
2021-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,occupancy_rate,0.0
2021-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,occupancy_rate,4.82
2021-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,occupancy_rate,16.89
2021-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,occupancy_rate,12.86
2021-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,occupancy_rate,3.38
2021-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,occupancy_rate,8.62
2021-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,occupancy_rate,20.38
2021-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,occupancy_rate,10.62
2021-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,occupancy_rate,0.92
2021-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,occupancy_rate,0.0
2021-01-01,ตราด,Trat ,ภาคตะวันออก,east,occupancy_rate,1.23
2021-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,occupancy_rate,28.56
2021-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,occupancy_rate,24.02
2021-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,occupancy_rate,7.04
2021-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,occupancy_rate,19.81
2021-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,occupancy_rate,2.45
2021-01-01,พัทลุง,Phatthalung ,ภาคใต้,south,occupancy_rate,22.52
2021-01-01,ตรัง,Trang ,ภาคใต้,south,occupancy_rate,15.33
2021-01-01,ระนอง,Ranong ,ภาคใต้,south,occupancy_rate,10.31
2021-01-01,ชุมพร,Chumphon ,ภาคใต้,south,occupancy_rate,12.48
2021-01-01,ปัตตานี,Pattani ,ภาคใต้,south,occupancy_rate,19.4
2021-01-01,ยะลา,Yala ,ภาคใต้,south,occupancy_rate,15.14
2021-01-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,occupancy_rate,25.73
2021-01-01,นราธิวาส,Narathiwat ,ภาคใต้,south,occupancy_rate,10.57
2021-01-01,กระบี่,Krabi ,ภาคใต้,south,occupancy_rate,4.21
2021-01-01,สงขลา,Songkhla ,ภาคใต้,south,occupancy_rate,11.36
2021-01-01,พังงา,Phang Nga ,ภาคใต้,south,occupancy_rate,8.45
2021-01-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,occupancy_rate,5.57
2021-01-01,สตูล,Satun ,ภาคใต้,south,occupancy_rate,17.49
2021-01-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,occupancy_rate,12.88
2021-01-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,occupancy_rate,22.97
2021-01-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,occupancy_rate,20.75
2021-01-01,พิจิตร,Phichit ,ภาคเหนือ,north,occupancy_rate,23.34
2021-01-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,occupancy_rate,23.62
2021-01-01,ตาก,Tak ,ภาคเหนือ,north,occupancy_rate,13.18
2021-01-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,occupancy_rate,28.52
2021-01-01,พะเยา,Phayao ,ภาคเหนือ,north,occupancy_rate,19.43
2021-01-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,occupancy_rate,16.81
2021-01-01,แพร่,Phrae ,ภาคเหนือ,north,occupancy_rate,11.0
2021-01-01,ลำปาง,Lampang ,ภาคเหนือ,north,occupancy_rate,23.98
2021-01-01,ลำพูน,Lamphun ,ภาคเหนือ,north,occupancy_rate,20.96
2021-01-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,occupancy_rate,13.48
2021-01-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,occupancy_rate,16.39
2021-01-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,occupancy_rate,23.25
2021-01-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,occupancy_rate,17.25
2021-01-01,น่าน,Nan ,ภาคเหนือ,north,occupancy_rate,10.52
2021-01-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,20.19
2021-01-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,22.88
2021-01-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,19.51
2021-01-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,26.15
2021-01-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,31.58
2021-01-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,30.33
2021-01-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,15.38
2021-01-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,19.93
2021-01-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,30.32
2021-01-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,9.13
2021-01-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,occupancy_rate,30.18
2021-01-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,24.48
2021-01-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,12.74
2021-01-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,16.93
2021-01-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,18.31
2021-01-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,30.53
2021-01-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,16.81
2021-01-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,28.22
2021-01-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,26.61
2021-01-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,4.73
2022-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,occupancy_rate,26.34
2022-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,occupancy_rate,38.59
2022-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,occupancy_rate,45.43
2022-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,occupancy_rate,37.38
2022-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,occupancy_rate,35.66
2022-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,occupancy_rate,38.83
2022-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,occupancy_rate,33.27
2022-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,occupancy_rate,22.74
2022-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,occupancy_rate,33.81
2022-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,occupancy_rate,24.17
2022-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,occupancy_rate,24.74
2022-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,occupancy_rate,24.3
2022-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,occupancy_rate,29.47
2022-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,occupancy_rate,48.44
2022-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,occupancy_rate,57.17
2022-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,occupancy_rate,43.34
2022-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,occupancy_rate,43.52
2022-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,occupancy_rate,52.21
2022-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,occupancy_rate,49.97
2022-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,occupancy_rate,38.52
2022-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,occupancy_rate,40.22
2022-01-01,ตราด,Trat ,ภาคตะวันออก,east,occupancy_rate,32.53
2022-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,occupancy_rate,51.85
2022-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,occupancy_rate,39.79
2022-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,occupancy_rate,34.9
2022-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,occupancy_rate,29.6
2022-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,occupancy_rate,25.53
2022-01-01,พัทลุง,Phatthalung ,ภาคใต้,south,occupancy_rate,26.32
2022-01-01,ตรัง,Trang ,ภาคใต้,south,occupancy_rate,31.24
2022-01-01,ระนอง,Ranong ,ภาคใต้,south,occupancy_rate,30.24
2022-01-01,ชุมพร,Chumphon ,ภาคใต้,south,occupancy_rate,28.77
2022-01-01,ปัตตานี,Pattani ,ภาคใต้,south,occupancy_rate,27.5
2022-01-01,ยะลา,Yala ,ภาคใต้,south,occupancy_rate,37.63
2022-01-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,occupancy_rate,23.29
2022-01-01,นราธิวาส,Narathiwat ,ภาคใต้,south,occupancy_rate,19.41
2022-01-01,กระบี่,Krabi ,ภาคใต้,south,occupancy_rate,25.56
2022-01-01,สงขลา,Songkhla ,ภาคใต้,south,occupancy_rate,16.65
2022-01-01,พังงา,Phang Nga ,ภาคใต้,south,occupancy_rate,32.28
2022-01-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,occupancy_rate,24.49
2022-01-01,สตูล,Satun ,ภาคใต้,south,occupancy_rate,45.21
2022-01-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,occupancy_rate,35.58
2022-01-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,occupancy_rate,72.09
2022-01-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,occupancy_rate,56.83
2022-01-01,พิจิตร,Phichit ,ภาคเหนือ,north,occupancy_rate,33.51
2022-01-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,occupancy_rate,41.59
